# level,hp,atk,def,speed,ability level
#------------------------------------
# Player
#------------------------------------
[BARBARIAN]
# Stats per level
1,9,6,6,10,0
2,10,7,7,10,0
3,11,8,8,10,0
4,12,9,9,10,0
5,13,10,10,11,0
6,14,11,11,11,0
7,15,12,12,11,0
8,16,13,13,11,0
9,18,14,14,11,0
10,20,15,15,12,0
11,23,17,17,12,1
12,26,19,19,12,1
13,29,21,21,12,1
14,32,23,23,12,1
15,35,25,25,13,1
16,38,27,27,13,2
17,41,29,29,13,2
18,44,31,31,13,2
19,47,33,33,13,2
20,50,35,35,13,2
21,53,37,37,13,3
22,56,39,39,13,3
23,59,41,41,13,3
24,62,43,43,13,3
25,65,45,45,14,3
26,68,47,47,14,4
27,71,49,49,14,4
28,74,51,51,14,4
29,77,53,53,14,4
30,80,55,55,15,4
31,83,57,57,15,5
32,86,59,59,15,5
33,89,61,61,15,5
34,92,63,63,15,5
35,95,65,65,16,5
36,98,67,67,16,6
37,101,69,69,16,6
38,104,71,71,16,6
39,107,73,73,16,6
40,110,75,75,17,6
41,113,77,77,17,7
42,116,79,79,17,7
43,119,81,81,17,7
44,122,83,83,17,7
45,125,85,85,18,7
46,128,87,87,18,8
47,131,89,89,18,8
48,134,91,91,18,8
49,137,93,93,18,8
50,140,95,95,19,8
#------------------------------------
[SUPERBARBARIAN]
51,150,103,103,22,9
52,154,106,106,22,9
53,158,109,109,22,9
54,162,112,112,22,9
55,166,115,115,23,9
56,170,118,118,23,10
57,174,121,121,23,10
58,178,124,124,23,10
59,182,127,127,23,10
60,186,130,130,24,10
61,190,133,133,24,11
62,194,136,136,24,11
63,198,139,139,24,11
64,202,142,142,24,11
65,206,145,145,25,11
66,210,148,148,25,12
67,214,151,151,25,12
68,218,154,154,25,12
69,222,157,157,25,12
70,226,160,160,26,12
71,230,163,163,26,13
72,234,166,166,26,13
73,238,169,169,26,13
74,242,172,172,26,13
75,246,175,175,27,13
76,250,178,178,27,14
77,254,181,181,27,14
78,258,184,184,27,14
79,262,187,187,27,14
80,266,190,190,28,14
81,270,193,193,28,15
82,274,196,196,28,15
83,278,199,199,28,15
84,282,202,202,28,15
85,286,205,205,29,15
86,290,208,208,29,16
87,294,211,211,29,16
88,298,214,214,29,16
89,302,217,217,29,16
90,306,220,220,30,16
91,310,223,223,30,17
92,314,226,226,30,17
93,318,229,229,30,17
94,322,232,232,30,17
95,326,235,235,31,17
96,330,238,238,31,18
97,334,241,241,31,18
98,338,244,244,31,18
99,342,247,247,31,18
100,346,250,250,32,18
#------------------------------------
[BARBARIANKING]
101,360,260,260,35,1
102,367,265,265,35,1
103,374,270,270,35,1
104,381,275,275,35,1
105,388,280,280,36,1
106,395,285,285,36,2
107,402,290,290,36,2
108,409,295,295,36,2
109,416,300,300,36,2
110,423,305,305,37,2
111,430,310,310,37,3
112,437,315,315,37,3
113,444,320,320,37,3
114,451,325,325,37,3
115,458,330,330,38,3
116,465,335,335,38,4
117,472,340,340,38,4
118,479,345,345,38,4
119,486,350,350,38,4
120,493,355,355,39,4
121,500,360,360,39,5
122,507,365,365,39,5
123,514,370,370,39,5
124,521,375,375,39,5
125,528,380,380,40,5
126,535,385,385,40,6
127,542,390,390,40,6
128,549,395,395,40,6
129,556,400,400,40,6
130,563,405,405,41,6
131,570,410,410,41,7
132,577,415,415,41,7
133,584,420,420,41,7
134,591,425,425,41,7
135,598,430,430,42,7
136,605,435,435,42,8
137,612,440,440,42,8
138,619,445,445,42,8
139,626,450,450,42,8
140,633,455,455,43,8
141,640,460,460,43,9
142,647,465,465,43,9
143,654,470,470,43,9
144,661,475,475,43,9
145,668,480,480,44,9
146,675,485,485,44,10
147,682,490,490,44,10
148,689,495,495,44,10
149,696,500,500,44,10
150,703,505,505,45,10
#------------------------------------
# Elixir Troops
#------------------------------------
[ARCHER]
1,3,7,5,12,0
2,4,8,6,12,0
3,5,9,7,12,0
4,6,10,8,12,0
5,7,11,9,13,0
8,10,14,12,13,0
10,12,16,14,15,0
20,22,26,19,17,0
30,32,36,29,21,0
40,45,46,40,25,0
#------------------------------------
[WALLBREAKER]
1,3,5,5,11,1
2,4,6,6,11,1
3,5,7,7,11,1
4,6,8,8,11,1
5,7,9,9,12,2
25,28,30,30,15,6
35,40,35,35,17,7
45,50,45,45,20,8
#------------------------------------
[GIANT]
1,6,2,6,7,1
2,7,3,7,7,1
3,8,4,8,7,1
4,9,5,9,7,1
5,10,6,10,8,3
20,30,15,20,11,5
30,50,20,30,13,6
40,70,30,50,15,7
45,80,34,60,16,8
58,100,38,80,18,9
68,120,45,90,20,10
78,140,55,110,22,11
88,160,60,130,22,11
#------------------------------------
[GOBLIN]
1,3,5,4,16,1
2,4,6,5,16,1
3,5,7,6,16,1
4,6,8,7,16,1
5,7,9,8,17,1
10,12,14,13,20,2
20,25,28,17,25,3
30,40,44,25,30,4
40,55,60,40,35,5
50,70,75,50,52,6
70,90,100,70,60,6
90,115,130,90,65,7
102,125,130,102,70,7
112,140,150,112,72,8
122,155,165,121,75,8
130,170,180,130,78,8
#------------------------------------
[BALLOON]
1,4,8,6,3,1
32,35,80,30,10,3
42,50,90,35,12,7
48,60,100,45,14,8
62,80,120,60,18,9
72,90,130,70,19,10
82,100,140,80,20,11
#------------------------------------
[WIZARD]
32,50,150,20,18,1
37,70,200,30,19,3
42,200,250,80,20,5
47,250,300,100,22,6
52,300,350,200,24,7
57,350,400,220,25,8
#------------------------------------
[HEALER]
58,600,50,50,16,1
68,800,55,55,18,3
75,1000,60,60,20,4
92,1500,75,75,22,5
105,2000,100,100,25,7
115,2500,125,125,27,8
125,3000,150,150,29,8
#------------------------------------
[BABYDRAGON]
55,100,100,100,25,1
65,150,150,150,27,3
75,200,200,200,28,5
85,250,250,250,30,7
95,300,300,300,32,8
105,350,350,350,34,9
#------------------------------------
[DRAGONRIDER]
130,1000,1400,600,45,1
140,1200,1500,700,50,1
150,1400,1600,800,55,1
#------------------------------------
[ICEWIZARD]
45,100,100,150,20,1
50,120,120,170,21,1
55,140,140,190,22,1
60,160,160,210,23,1
65,180,180,230,24,1
70,200,200,250,25,1
118,300,300,350,30,1
128,340,340,390,31,1
138,380,380,430,32,1
#------------------------------------
[MINER]
30,100,90,85,24,1
45,150,115,100,28,3
60,180,140,120,30,5
78,210,165,140,33,7
